stt,age,inc,eth,sex,edu,kid,mar,pop2008
AL,18-29,$0-20k,Hispanic,Male,< HS,No Kids,Single,196
AL,18-29,$0-20k,Hispanic,Male,HS,Kids,Married,42
AL,18-29,$0-20k,Hispanic,Male,HS,Kids,Single,48
AL,18-29,$0-20k,Hispanic,Male,HS,No Kids,Married,34
AL,18-29,$0-20k,Hispanic,Male,HS,No Kids,Single,86
AL,18-29,$0-20k,Hispanic,Male,Some Coll,Kids,Married,0
AL,18-29,$0-20k,Hispanic,Male,Some Coll,Kids,Single,8
AL,18-29,$0-20k,Hispanic,Male,Some Coll,No Kids,Married,19
AL,18-29,$0-20k,Hispanic,Male,Some Coll,No Kids,Single,146
AL,18-29,$0-20k,Hispanic,Male,Coll,Kids,Married,0
AL,18-29,$0-20k,Hispanic,Male,Coll,Kids,Single,0
AL,18-29,$0-20k,Hispanic,Male,Coll,No Kids,Married,0
AL,18-29,$0-20k,Hispanic,Male,Coll,No Kids,Single,0
AL,18-29,$0-20k,Hispanic,Male,Post-Grad,Kids,Married,0
AL,18-29,$0-20k,Hispanic,Male,Post-Grad,Kids,Single,0
AL,18-29,$0-20k,Hispanic,Male,Post-Grad,No Kids,Married,0
AL,18-29,$0-20k,Hispanic,Male,Post-Grad,No Kids,Single,0
AL,18-29,$0-20k,Hispanic,Female,< HS,Kids,Married,96
AL,18-29,$0-20k,Hispanic,Female,< HS,Kids,Single,133
AL,18-29,$0-20k,Hispanic,Female,< HS,No Kids,Married,0
AL,18-29,$0-20k,Hispanic,Female,< HS,No Kids,Single,9
AL,18-29,$0-20k,Hispanic,Female,HS,Kids,Married,99
AL,18-29,$0-20k,Hispanic,Female,HS,Kids,Single,84
AL,18-29,$0-20k,Hispanic,Female,HS,No Kids,Married,122
AL,18-29,$0-20k,Hispanic,Female,HS,No Kids,Single,60
AL,18-29,$0-20k,Hispanic,Female,Some Coll,Kids,Married,0
AL,18-29,$0-20k,Hispanic,Female,Some Coll,Kids,Single,30
AL,18-29,$0-20k,Hispanic,Female,Some Coll,No Kids,Married,48
AL,18-29,$0-20k,Hispanic,Female,Some Coll,No Kids,Single,94
AL,18-29,$0-20k,Hispanic,Female,Coll,Kids,Married,16
AL,18-29,$0-20k,Hispanic,Female,Coll,Kids,Single,17
AL,18-29,$0-20k,Hispanic,Female,Coll,No Kids,Married,0
AL,18-29,$0-20k,Hispanic,Female,Coll,No Kids,Single,27
AL,18-29,$0-20k,Hispanic,Female,Post-Grad,Kids,Married,0
AL,18-29,$0-20k,Hispanic,Female,Post-Grad,Kids,Single,0
AL,18-29,$0-20k,Hispanic,Female,Post-Grad,No Kids,Married,0
AL,18-29,$0-20k,Hispanic,Female,Post-Grad,No Kids,Single,0
AL,18-29,$0-20k,Other,Male,< HS,Kids,Married,0
AL,18-29,$0-20k,Other,Male,< HS,Kids,Single,93
AL,18-29,$0-20k,Other,Male,< HS,No Kids,Married,144
AL,18-29,$0-20k,Other,Male,< HS,No Kids,Single,197
AL,18-29,$0-20k,Other,Male,HS,Kids,Married,24
AL,18-29,$0-20k,Other,Male,HS,Kids,Single,49
AL,18-29,$0-20k,Other,Male,HS,No Kids,Married,12
AL,18-29,$0-20k,Other,Male,HS,No Kids,Single,453
AL,18-29,$0-20k,Other,Male,Some Coll,Kids,Married,0
AL,18-29,$0-20k,Other,Male,Some Coll,Kids,Single,119
AL,18-29,$0-20k,Other,Male,Some Coll,No Kids,Married,0
AL,18-29,$0-20k,Other,Male,Some Coll,No Kids,Single,295
AL,18-29,$0-20k,Other,Male,Coll,Kids,Married,29
AL,18-29,$0-20k,Other,Male,Coll,Kids,Single,0
AL,18-29,$0-20k,Other,Male,Coll,No Kids,Married,12
AL,18-29,$0-20k,Other,Male,Coll,No Kids,Single,173
AL,18-29,$0-20k,Other,Male,Post-Grad,Kids,Married,0
AL,18-29,$0-20k,Other,Male,Post-Grad,Kids,Single,0
AL,18-29,$0-20k,Other,Male,Post-Grad,No Kids,Married,0
AL,18-29,$0-20k,Other,Male,Post-Grad,No Kids,Single,29
AL,18-29,$0-20k,Other,Female,< HS,Kids,Married,101
AL,18-29,$0-20k,Other,Female,< HS,Kids,Single,195
AL,18-29,$0-20k,Other,Female,< HS,No Kids,Married,23
AL,18-29,$0-20k,Other,Female,< HS,No Kids,Single,98
AL,18-29,$0-20k,Other,Female,HS,Kids,Married,27
AL,18-29,$0-20k,Other,Female,HS,Kids,Single,274
AL,18-29,$0-20k,Other,Female,HS,No Kids,Married,21
AL,18-29,$0-20k,Other,Female,HS,No Kids,Single,184
AL,18-29,$0-20k,Other,Female,Some Coll,Kids,Married,76
AL,18-29,$0-20k,Other,Female,Some Coll,Kids,Single,102
AL,18-29,$0-20k,Other,Female,Some Coll,No Kids,Married,13
AL,18-29,$0-20k,Other,Female,Some Coll,No Kids,Single,523
AL,18-29,$0-20k,Other,Female,Coll,Kids,Married,0
AL,18-29,$0-20k,Other,Female,Coll,Kids,Single,0
AL,18-29,$0-20k,Other,Female,Coll,No Kids,Married,0
AL,18-29,$0-20k,Other,Female,Coll,No Kids,Single,75
AL,18-29,$0-20k,Other,Female,Post-Grad,Kids,Married,0
AL,18-29,$0-20k,Other,Female,Post-Grad,Kids,Single,0
AL,18-29,$0-20k,Other,Female,Post-Grad,No Kids,Married,0
AL,18-29,$0-20k,Other,Female,Post-Grad,No Kids,Single,0
AL,18-29,$20-40k,White,Male,< HS,Kids,Married,2536
AL,18-29,$20-40k,White,Male,< HS,Kids,Single,3427
AL,18-29,$20-40k,White,Male,< HS,No Kids,Married,911
AL,18-29,$20-40k,White,Male,< HS,No Kids,Single,6023
AL,18-29,$20-40k,White,Male,HS,Kids,Married,5552
AL,18-29,$20-40k,White,Male,HS,Kids,Single,2945
AL,18-29,$20-40k,White,Male,HS,No Kids,Married,1980
AL,18-29,$20-40k,White,Male,HS,No Kids,Single,7297
AL,18-29,$20-40k,White,Male,Some Coll,Kids,Married,3468
AL,18-29,$20-40k,White,Male,Some Coll,Kids,Single,1409
AL,18-29,$20-40k,White,Male,Some Coll,No Kids,Married,2149
AL,18-29,$20-40k,White,Male,Some Coll,No Kids,Single,9718
AL,18-29,$20-40k,White,Male,Coll,Kids,Married,521
AL,18-29,$20-40k,White,Male,Coll,Kids,Single,288
AL,18-29,$20-40k,White,Male,Coll,No Kids,Married,867
AL,18-29,$20-40k,White,Male,Coll,No Kids,Single,3008
AL,18-29,$20-40k,White,Male,Post-Grad,Kids,Married,147
AL,18-29,$20-40k,White,Male,Post-Grad,Kids,Single,13
AL,18-29,$20-40k,White,Male,Post-Grad,No Kids,Married,149
AL,18-29,$20-40k,White,Male,Post-Grad,No Kids,Single,504
AL,18-29,$20-40k,White,Female,< HS,Kids,Married,3138
AL,18-29,$20-40k,White,Female,< HS,Kids,Single,2226
AL,18-29,$20-40k,White,Female,< HS,No Kids,Married,1019
AL,18-29,$20-40k,White,Female,< HS,No Kids,Single,3537
AL,18-29,$20-40k,White,Female,HS,Kids,Married,7122
AL,18-29,$20-40k,White,Female,HS,Kids,Single,3621
AL,18-29,$20-40k,White,Female,HS,No Kids,Married,1949
AL,18-29,$20-40k,White,Female,HS,No Kids,Single,5844
AL,18-29,$20-40k,White,Female,Some Coll,Kids,Married,4897
AL,18-29,$20-40k,White,Female,Some Coll,Kids,Single,2802
AL,18-29,$20-40k,White,Female,Some Coll,No Kids,Married,2897
AL,18-29,$20-40k,White,Female,Some Coll,No Kids,Single,8830
AL,18-29,$20-40k,White,Female,Coll,Kids,Married,575
AL,18-29,$20-40k,White,Female,Coll,Kids,Single,584
AL,18-29,$20-40k,White,Female,Coll,No Kids,Married,963
AL,18-29,$20-40k,White,Female,Coll,No Kids,Single,3863
AL,18-29,$20-40k,White,Female,Post-Grad,Kids,Married,139
AL,18-29,$20-40k,White,Female,Post-Grad,Kids,Single,118
AL,18-29,$20-40k,White,Female,Post-Grad,No Kids,Married,162
AL,18-29,$20-40k,White,Female,Post-Grad,No Kids,Single,872
AL,18-29,$20-40k,Black,Male,< HS,Kids,Married,1021
AL,18-29,$20-40k,Black,Male,< HS,Kids,Single,3391
AL,18-29,$20-40k,Black,Male,< HS,No Kids,Married,472
AL,18-29,$20-40k,Black,Male,< HS,No Kids,Single,4318
AL,18-29,$20-40k,Black,Male,HS,Kids,Married,1850
AL,18-29,$20-40k,Black,Male,HS,Kids,Single,2493
AL,18-29,$20-40k,Black,Male,HS,No Kids,Married,489
AL,18-29,$20-40k,Black,Male,HS,No Kids,Single,7296
AL,18-29,$20-40k,Black,Male,Some Coll,Kids,Married,530
AL,18-29,$20-40k,Black,Male,Some Coll,Kids,Single,1287
AL,18-29,$20-40k,Black,Male,Some Coll,No Kids,Married,358
AL,18-29,$20-40k,Black,Male,Some Coll,No Kids,Single,4485
AL,18-29,$20-40k,Black,Male,Coll,Kids,Married,103
